Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
395860,元裕哲,李昌镐,黑中盘胜,B,1,-9,0,-19
405574,卞相壹,李昌镐,黑胜1.5目,B,1,-10,-17,18
406220,尹灿熙,李昌镐,白中盘胜,W,-1,7,-5,-16
406836,李昌镐,尹灿熙,黑中盘胜,B,-1,4,-1,-8
444552,李昌镐,李世石,白中盘胜,W,4,-3,-3,27
480550,金志锡,李昌镐,黑中盘胜,B,6,3,-1,-10
482065,柳珉滢,李昌镐,黑胜1.5目,B,5,14,2,2
572122,元晟溱,李昌镐,白胜2.5目,W,7,-5,-12,12
576658,罗玄,李昌镐,黑中盘胜,B,2,-1,0,-3
586364,李昌镐,李映九,白中盘胜,W,-1,-4,1,9
596430,偰玹准,李昌镐,白中盘胜,W,0,2,5,14
598735,李昌镐,金世东,白胜9.5目,W,-6,-10,-5,13
602189,李昌镐,卞相壹,白中盘胜,W,1,4,2,34
607889,陈耀烨,李昌镐,黑中盘胜,B,2,-1,6,13
623387,姜东润,李昌镐,白中盘胜,W,-1,9,0,-14
634338,李志贤,李昌镐,黑胜2.5目,B,-15,-10,-7,-14
643531,宋知勋,李昌镐,黑中盘胜,B,4,9,4,21
660323,李昌镐,李映九,白中盘胜,W,-2,-2,-1,-15
665877,李昌镐,吴侑珍,白中盘胜,W,-3,-6,-3,5
684273,谢尔豪,李昌镐,黑中盘胜,B,9,7,11,30
693773,李昌镐,朴键昊,黑中盘胜,B,2,-7,2,27
699802,李昌镐,李志贤,黑中盘胜,B,7,3,7,5
703196,依田纪基,李昌镐,黑胜3/4子,B,2,13,53,17
742448,朴河旼,李昌镐,白中盘胜,W,-3,10,-4,18
742454,李昌镐,朴河旼,白胜2.5目,W,4,6,8,-12
752040,卞相壹,李昌镐,黑中盘胜,B,4,1,6,-1
754892,李昌镐,罗玄,白中盘胜,W,-2,-2,2,-12
1048851,李昌镐,李东勋,白中盘胜,W,1,-3,-49,-40
1492120,李昌镐,陈耀烨,白中盘胜,W,-4,7,2,-1
1734271,李昌镐,古力,白棋中盘胜,W,0,-1,1,22
1734272,李昌镐,常昊,黑棋中盘胜,B,-2,-7,-2,-13
1975113,李昌镐,高尾绅路,黑棋中盘胜,B,0,-18,2,5
1975262,常昊,李昌镐,黑棋中盘胜,B,5,13,8,15
1977421,马晓春,李昌镐,白棋中盘胜,W,-2,0,-2,-18
3415498,李轩豪,李昌镐,黑棋6.5目胜,B,2,2,12,-2
4684726,李昌镐,常昊,黑棋中盘胜,B,2,4,0,1
4827764,赵晨宇,李昌镐,黑棋中盘胜,B,17,15,19,42
6723463,李昌镐,檀啸,白棋中盘胜,W,-2,-2,-3,-17
131306,李世石,朴廷桓,黑中盘胜,B,1,0,9,-6
134592,李世石,柯洁,白中盘胜,W,0,4,4,-7
134593,李世石,一力辽,黑中盘胜,B,2,-2,2,-4
137496,李世石,白洪淅,黑中盘胜,B,0,3,17,13
137721,村川大介,李世石,白中盘胜,W,-1,0,-2,6
137846,李世石,连笑,黑中盘胜,B,2,-6,-1,-6
137950,井山裕太,李世石,白中盘胜,W,2,-2,1,3
139087,李世石,谷歌围棋AlphaGo,白中盘胜,W,1,-8,-4,6
